baseline,dataset,mean,std,n_runs
FLASH_FUSION,bus,212.662409375,56.84211845684622,3
FLASH_FUSION_CACHE,bus,55.490994791666665,22.0472555650438,3
FLASH_FUSION_CACHE_HIT,bus,18.19537878787879,0.19773575913519553,3
FLASH_FUSION_CACHE_MISS,bus,266.83392962962967,92.94660687662072,3
AUTOIOT_PAPER,bus,731.3342690972194,21.40869085479622,3
REACT_ONLY,bus,78.31118749999999,20.56153882116362,3
HARGPT_PAPER,bus,3012.158124999997,0.5058265542516472,3
LLMSENSE_PAPER,bus,3012.158124999997,0.5058265542516472,3
FLASH_FUSION,wisdm,128.522428125,17.38292531378758,3
FLASH_FUSION_CACHE,wisdm,79.51292968749975,18.925990686613943,3
FLASH_FUSION_CACHE_HIT,wisdm,15.507142857142856,0.5708395774026643,3
FLASH_FUSION_CACHE_MISS,wisdm,178.83680627705564,69.68556177396354,3
AUTOIOT_PAPER,wisdm,657.8012482638857,38.07933698386153,3
REACT_ONLY,wisdm,111.57038750000002,1.3265393962652285,3
HARGPT_PAPER,wisdm,2333.185568055553,65.99987518656185,3
LLMSENSE_PAPER,wisdm,2333.185568055553,65.99987518656185,3
FLASH_FUSION,ecg,318.57515624999996,5.711737053632972,3
FLASH_FUSION_CACHE,ecg,47.56729635416667,13.566413460182757,3
FLASH_FUSION_CACHE_HIT,ecg,16.399896389324965,1.2081066446545927,3
FLASH_FUSION_CACHE_MISS,ecg,136.99844555555555,53.023071999080464,3
AUTOIOT_PAPER,ecg,563.2974340277752,36.21180281366972,3
REACT_ONLY,ecg,130.28599999999975,9.675878844193235,3
HARGPT_PAPER,ecg,5807.479205555553,97.50478387195025,3
LLMSENSE_PAPER,ecg,5807.479205555553,97.50478387195025,3
