baseline,dataset,mean,std,n_runs
FLASH_FUSION,bus,212.662409375,56.84211845684622,3
FLASH_FUSION_CACHE,bus,70.82126822916668,27.976404355745274,3
FLASH_FUSION_CACHE_HIT,bus,17.17897266313933,0.4076373136632482,3
FLASH_FUSION_CACHE_MISS,bus,319.99948166666667,151.94640876181725,3
AUTOIOT_PAPER,bus,731.3342690972194,21.40869085479622,3
REACT_ONLY,bus,78.31118749999999,20.56153882116362,3
HARGPT_PAPER,bus,3012.158124999997,0.5058265542516472,3
LLMSENSE_PAPER,bus,3012.158124999997,0.5058265542516472,3
FLASH_FUSION,wisdm,128.522428125,17.38292531378758,3
FLASH_FUSION_CACHE,wisdm,75.66401041666666,20.984343184285574,3
FLASH_FUSION_CACHE_HIT,wisdm,14.877663170163169,0.698920276841907,3
FLASH_FUSION_CACHE_MISS,wisdm,278.66116444444447,22.669034688251,3
AUTOIOT_PAPER,wisdm,657.8012482638857,38.07933698386153,3
REACT_ONLY,wisdm,111.57038750000002,1.3265393962652285,3
HARGPT_PAPER,wisdm,2333.185568055553,65.99987518656185,3
LLMSENSE_PAPER,wisdm,2333.185568055553,65.99987518656185,3
FLASH_FUSION,ecg,318.57515624999996,5.711737053632972,3
FLASH_FUSION_CACHE,ecg,101.53552343749952,13.789675050051846,3
FLASH_FUSION_CACHE_HIT,ecg,14.240097222222222,1.163127530994119,3
FLASH_FUSION_CACHE_MISS,ecg,318.7576243055537,37.89524120703849,3
AUTOIOT_PAPER,ecg,563.2974340277752,36.21180281366972,3
REACT_ONLY,ecg,130.28599999999975,9.675878844193235,3
HARGPT_PAPER,ecg,5807.479205555553,97.50478387195025,3
LLMSENSE_PAPER,ecg,5807.479205555553,97.50478387195025,3
