baseline,dataset,mean,std,n_runs
FLASH_FUSION,bus,212.662409375,56.84211845684622,3
FLASH_FUSION_CACHE,bus,12.920302083333334,12.361685266470694,3
FLASH_FUSION_CACHE_HIT,bus,5.46232190860215,0.5559749971610116,3
FLASH_FUSION_CACHE_MISS,bus,720.7865,0.0,1
AUTOIOT_PAPER,bus,731.3342690972194,21.40869085479622,3
REACT_ONLY,bus,78.31118749999999,20.56153882116362,3
HARGPT_PAPER,bus,3012.158124999997,0.5058265542516472,3
LLMSENSE_PAPER,bus,3012.158124999997,0.5058265542516472,3
FLASH_FUSION,wisdm,128.522428125,17.38292531378758,3
FLASH_FUSION_CACHE,wisdm,34.76011458333255,19.354928694957685,3
FLASH_FUSION_CACHE_HIT,wisdm,4.206156641604011,0.4776724684798265,3
FLASH_FUSION_CACHE_MISS,wisdm,311.92487142856334,159.08357007729984,3
AUTOIOT_PAPER,wisdm,657.8012482638857,38.07933698386153,3
REACT_ONLY,wisdm,111.57038750000002,1.3265393962652285,3
HARGPT_PAPER,wisdm,2333.185568055553,65.99987518656185,3
LLMSENSE_PAPER,wisdm,2333.185568055553,65.99987518656185,3
FLASH_FUSION,ecg,318.57515624999996,5.711737053632972,3
FLASH_FUSION_CACHE,ecg,3.6740625000000002,0.005962120008855772,3
FLASH_FUSION_CACHE_HIT,ecg,3.6740625000000002,0.005962120008855772,3
AUTOIOT_PAPER,ecg,563.2974340277752,36.21180281366972,3
REACT_ONLY,ecg,130.28599999999975,9.675878844193235,3
HARGPT_PAPER,ecg,5807.479205555553,97.50478387195025,3
LLMSENSE_PAPER,ecg,5807.479205555553,97.50478387195025,3
