baseline,query_type,mean,std,n
FLASH_FUSION,Direct,182.02540416666665,81.94991220405178,9
AUTOIOT_PAPER,Direct,460.64007638888535,98.9620056924133,9
REACT_ONLY,Direct,53.65641666666667,13.40285303106558,9
HARGPT_PAPER,Direct,3566.6160027777746,1721.37494212007,9
LLMSENSE_PAPER,Direct,3566.6160027777746,1721.37494212007,9
FLASH_FUSION,Reasoning,256.92203333333333,79.55244724643852,9
AUTOIOT_PAPER,Reasoning,627.625407407405,118.63072413934722,9
REACT_ONLY,Reasoning,91.855725,15.970159081182665,9
HARGPT_PAPER,Reasoning,3699.6480597222185,1595.8056675785956,9
LLMSENSE_PAPER,Reasoning,3699.6480597222185,1595.8056675785956,9
FLASH_FUSION,Predictive,194.43585416666664,54.48632873562757,9
AUTOIOT_PAPER,Predictive,754.2140717592565,65.53983511508487,9
REACT_ONLY,Predictive,227.700958333333,79.63640243536135,9
FLASH_FUSION,Out-of-Scope,246.2967,156.88981636309086,9
AUTOIOT_PAPER,Out-of-Scope,760.7643796296265,191.67868058499877,9
REACT_ONLY,Out-of-Scope,53.677000000000014,10.995831934739236,9
HARGPT_PAPER,Out-of-Scope,3886.558836111109,1478.2693519172653,9
LLMSENSE_PAPER,Out-of-Scope,3886.558836111109,1478.2693519172653,9
